site,year,species,basal.area.cm2,x,y
McGilvra Woods,2019,Acer saccharum,84.05370432,40.5,41.4
McGilvra Woods,2019,Fraxinus americana,1115.56156,0.7,41.6
McGilvra Woods,2019,Fraxinus americana,2747.144825,8,41.6
McGilvra Woods,2019,Tilia americana,798.9609974,29.4,41.7
McGilvra Woods,2019,Acer saccharum,511.8454801,21.5,43.7
McGilvra Woods,2019,Acer saccharum,950.671468,39.9,43.9
McGilvra Woods,2019,Acer saccharum,698.6655312,11.6,45
McGilvra Woods,2019,Fraxinus americana,1850.673573,13.9,45
McGilvra Woods,2019,Acer saccharum,936.8058894,37.7,45.1
McGilvra Woods,2019,Fraxinus americana,1424.63091,7.9,45.3
McGilvra Woods,2019,Acer saccharum,739.51026,35.3,46
McGilvra Woods,2019,Acer saccharum,144.4140123,7,46.5
McGilvra Woods,2019,Tilia americana,1661.5975,38.2,47
McGilvra Woods,2019,Quercus rubra,4500.013706,33.3,47.8
McGilvra Woods,2019,Acer saccharum,802.3836245,16.1,49.7
