site,species,x,y,distance.to.tree.m,soil.depth.cm
McGilvra Woods,Anemone acutiloba,29.1,29,1.9,13
McGilvra Woods,Anemone acutiloba,29.5,29.5,1.7,22
McGilvra Woods,Trillium flexipes,29.4,30,2,50
McGilvra Woods,Anemone acutiloba,30.6,29.6,0.5,1
McGilvra Woods,Trillium flexipes,32,28.1,1.3,50
McGilvra Woods,Trillium flexipes,31.7,28,1.2,13
McGilvra Woods,Trillium flexipes,31.8,27.7,1.4,23
McGilvra Woods,Trillium flexipes,32,27.6,1.6,40
McGilvra Woods,Trillium flexipes,32.4,30,0.2,30
McGilvra Woods,Trillium flexipes,31.6,25.4,3.6,50
McGilvra Woods,Trillium flexipes,32,25.5,3.6,50
McGilvra Woods,Trillium flexipes,33.9,25.8,4.2,50
McGilvra Woods,Trillium flexipes,36.8,29.1,4.4,20
McGilvra Woods,Trillium flexipes,37,29,4,19
McGilvra Woods,Trillium flexipes,37.9,29.1,3.7,17
McGilvra Woods,Trillium flexipes,37,27.8,3.2,50
McGilvra Woods,Trillium flexipes,37.4,26.6,2.3,50
McGilvra Woods,Trillium flexipes,37.8,26.5,1.7,50
McGilvra Woods,Anemone acutiloba,38,26.2,1.6,22
McGilvra Woods,Anemone acutiloba,38.6,26.6,1.4,29
McGilvra Woods,Anemone acutiloba,38.6,26.2,1.1,17
McGilvra Woods,Anemone acutiloba,38.7,26.1,0.9,50
McGilvra Woods,Anemone acutiloba,38.6,26,1,50
McGilvra Woods,Anemone acutiloba,38.1,25.2,1.4,21
McGilvra Woods,Trillium flexipes,38.4,25.4,1.1,50
McGilvra Woods,Anemone acutiloba,38.7,25.4,0.8,30
McGilvra Woods,Trillium flexipes,39.2,26,0.5,50
McGilvra Woods,Trillium flexipes,39.4,26,0.3,50
McGilvra Woods,Trillium flexipes,39.6,26,0.4,21
McGilvra Woods,Anemone acutiloba,39.4,25.9,0.2,3
McGilvra Woods,Anemone acutiloba,39.5,26.1,0.4,26
McGilvra Woods,Anemone acutiloba,39.6,26.3,0.7,8
McGilvra Woods,Trillium flexipes,39.5,26.5,0.8,50
McGilvra Woods,Trillium flexipes,40.3,26.1,0.3,17
McGilvra Woods,Trillium flexipes,40.2,26.4,0.7,24
McGilvra Woods,Trillium flexipes,40.2,26.7,0.9,18
McGilvra Woods,Trillium flexipes,40.2,26.8,1.8,26
McGilvra Woods,Trillium flexipes,40.2,27,1.9,50
McGilvra Woods,Trillium flexipes,40.2,29.7,3,37
McGilvra Woods,Anemone acutiloba,39.9,25,0.1,15
McGilvra Woods,Trillium flexipes,40.8,30,2.1,50
McGilvra Woods,Anemone acutiloba,40.9,26.7,1,28
McGilvra Woods,Trillium flexipes,40.7,26,0.6,15
McGilvra Woods,Trillium flexipes,40.9,25,0.8,46
McGilvra Woods,Anemone acutiloba,41.9,25.9,1.3,22
McGilvra Woods,Trillium flexipes,42.1,25.8,1.2,14
McGilvra Woods,Trillium flexipes,42.2,25.3,0.9,42
McGilvra Woods,Trillium flexipes,42.6,27.7,0.8,22
McGilvra Woods,Trillium flexipes,43.6,28.8,0.6,50
McGilvra Woods,Trillium flexipes,43.9,28.6,0.2,23
McGilvra Woods,Trillium flexipes,44.4,29.4,0.6,25
McGilvra Woods,Trillium flexipes,44.8,29.7,1,50
McGilvra Woods,Trillium flexipes,45.6,29.4,1.1,23
McGilvra Woods,Trillium flexipes,45.4,27.9,0.9,50
McGilvra Woods,Anemone acutiloba,45,27.9,0.4,4
McGilvra Woods,Trillium flexipes,42.5,27.7,0.8,16
McGilvra Woods,Trillium flexipes,43.6,27,1.2,14
McGilvra Woods,Anemone acutiloba,44.2,27.2,0.5,29
McGilvra Woods,Sanguinaria canadensis,44.6,26.6,1.4,50
McGilvra Woods,Trillium flexipes,44.4,26,1,50
McGilvra Woods,Anemone acutiloba,44.6,25.3,1.2,50
McGilvra Woods,Anemone acutiloba,45.3,25.3,1.5,9
McGilvra Woods,Anemone acutiloba,46.1,25.4,1,50
McGilvra Woods,Trillium flexipes,46,26.7,0.4,24
McGilvra Woods,Anemone acutiloba,48.7,27.2,0.3,14
McGilvra Woods,Anemone acutiloba,48.6,28.2,0.2,1
McGilvra Woods,Anemone acutiloba,48.8,28.4,0.3,12
McGilvra Woods,Sanguinaria canadensis,47.9,29.2,1.7,12
McGilvra Woods,Trillium flexipes,48.4,27.4,1.8,50
McGilvra Woods,Trillium flexipes,48.5,26.1,1.6,50
McGilvra Woods,Trillium flexipes,48.8,25.8,1.8,50
McGilvra Woods,Anemone acutiloba,49.2,27.7,2.8,12
McGilvra Woods,Sanguinaria canadensis,49.4,26.1,2.5,50
McGilvra Woods,Sanguinaria canadensis,0.8,34,0.5,10
McGilvra Woods,Trillium flexipes,1.7,34,0.5,50
McGilvra Woods,Trillium flexipes,2.5,30.5,3,50
McGilvra Woods,Trillium flexipes,2.9,30.5,3.1,50
McGilvra Woods,Trillium flexipes,5.7,32.4,2.6,50
McGilvra Woods,Trillium flexipes,8.6,34.4,0.7,50
McGilvra Woods,Trillium flexipes,8.8,31.4,0.6,30
McGilvra Woods,Trillium flexipes,8.9,31.3,0.4,28
McGilvra Woods,Trillium flexipes,10.9,30.2,1.3,50
McGilvra Woods,Trillium flexipes,13.5,30.5,0.6,19
McGilvra Woods,Trillium flexipes,13.9,34.1,2.6,50
McGilvra Woods,Trillium flexipes,19.3,30.9,2.6,50
McGilvra Woods,Sanguinaria canadensis,22.2,31,1.7,50
McGilvra Woods,Anemone acutiloba,25.2,32.6,2.5,50
McGilvra Woods,Trillium flexipes,26.6,32.3,1.5,31
McGilvra Woods,Trillium flexipes,26.4,30.3,1.7,19
McGilvra Woods,Anemone acutiloba,26.4,30.5,1.7,50
McGilvra Woods,Trillium flexipes,26.4,30.7,1.6,50
McGilvra Woods,Trillium flexipes,31.5,31.2,1.7,50
McGilvra Woods,Trillium flexipes,31.9,30.9,1.3,19
McGilvra Woods,Trillium flexipes,32.3,30,0.3,16
McGilvra Woods,Trillium flexipes,33.8,30.9,1.4,50
McGilvra Woods,Trillium flexipes,33.8,31.3,1.7,50
McGilvra Woods,Trillium flexipes,35.4,33,2.5,50
McGilvra Woods,Trillium flexipes,36.8,34.1,3.5,50
McGilvra Woods,Trillium flexipes,36.6,32.3,3.8,50
McGilvra Woods,Trillium flexipes,38.5,34.5,3.3,50
McGilvra Woods,Trillium flexipes,38.1,33,4.5,16
McGilvra Woods,Trillium flexipes,38,32.6,5.1,50
McGilvra Woods,Trillium flexipes,37.9,32.2,5.2,50
McGilvra Woods,Trillium flexipes,38,31.6,5.6,50
McGilvra Woods,Trillium flexipes,38.9,31.3,4.5,50
McGilvra Woods,Trillium flexipes,40.5,31.3,3.3,50
McGilvra Woods,Trillium flexipes,41.1,30.4,2.2,16
McGilvra Woods,Trillium flexipes,41.3,30.2,2,15
McGilvra Woods,Trillium flexipes,41.4,30.1,1.8,50
McGilvra Woods,Sanguinaria canadensis,41.7,30.4,1.7,50
McGilvra Woods,Trillium flexipes,45,30.6,2,50
McGilvra Woods,Trillium flexipes,45.3,30.3,1.8,50
McGilvra Woods,Trillium flexipes,46.2,34,3.1,50
McGilvra Woods,Trillium flexipes,46.6,33.8,2.5,24
McGilvra Woods,Trillium flexipes,2.1,36.7,3.1,50
McGilvra Woods,Trillium flexipes,3.5,36.5,3.3,21
McGilvra Woods,Trillium flexipes,3.8,37.4,3.4,50
McGilvra Woods,Trillium flexipes,6.8,39.1,2.4,50
McGilvra Woods,Trillium flexipes,7,38.9,2.3,50
McGilvra Woods,Anemone acutiloba,7.3,39.1,2.1,18
McGilvra Woods,Trillium flexipes,6.9,38,3.4,50
McGilvra Woods,Trillium flexipes,8.5,37.7,3.5,50
McGilvra Woods,Trillium flexipes,8.5,36.8,3.2,50
McGilvra Woods,Trillium flexipes,7.4,35.9,2.3,50
McGilvra Woods,Trillium flexipes,9.1,35.2,1.7,50
McGilvra Woods,Trillium flexipes,12.9,36.6,1.7,50
McGilvra Woods,Trillium flexipes,13.2,35.2,3,50
McGilvra Woods,Anemone acutiloba,13.9,38.6,0.1,8
McGilvra Woods,Trillium flexipes,18,38.9,2.3,50
McGilvra Woods,Trillium flexipes,19,37.3,0.8,41
McGilvra Woods,Trillium flexipes,19,37.7,0.8,17
McGilvra Woods,Anemone acutiloba,19.5,37.9,0.5,15
McGilvra Woods,Trillium flexipes,19.7,37.9,0.3,26
McGilvra Woods,Trillium flexipes,19.3,37.3,0.4,19
McGilvra Woods,Anemone acutiloba,19.2,37.2,0.1,2
McGilvra Woods,Anemone acutiloba,19.2,37.3,0.2,14
McGilvra Woods,Anemone acutiloba,21.4,38.4,1.9,17
McGilvra Woods,Anemone acutiloba,21.3,38,1.5,50
McGilvra Woods,Trillium flexipes,23.3,37.2,1.4,50
McGilvra Woods,Anemone acutiloba,23,36.6,0.8,14
McGilvra Woods,Anemone acutiloba,22.4,36,0.1,3
McGilvra Woods,Anemone acutiloba,23.9,30.4,0.4,26
McGilvra Woods,Trillium flexipes,27.8,38.8,2.9,50
McGilvra Woods,Trillium flexipes,29.2,38.7,3.2,50
McGilvra Woods,Trillium flexipes,27.8,37,3.4,50
McGilvra Woods,Trillium flexipes,28.1,36.3,3.1,50
McGilvra Woods,Trillium flexipes,27.2,30.6,2.6,50
McGilvra Woods,Trillium flexipes,31.1,36,0.3,24
McGilvra Woods,Trillium flexipes,31.5,36.1,0.3,20
