site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2199,Acer saccharum,317.8515199,47.4,16.1,
McGilvra Woods,2019,2200,Quercus rubra,9214.447318,44.4,15.8,
McGilvra Woods,2019,2201,Acer saccharum,101.9896706,41.3,20.2,
McGilvra Woods,2019,2202,Acer saccharum,579.0128449,39.3,20.3,
McGilvra Woods,2019,2203,Acer saccharum,127.3239545,37.2,20.8,
McGilvra Woods,2019,2204,Carya cordiformis,1843.348466,34.4,18,
McGilvra Woods,2019,2205,Acer saccharum,7.487444298,24.9,18.3,
McGilvra Woods,2019,2206,Acer saccharum,69.25229461,24.6,23.1,
McGilvra Woods,2019,2207,Quercus rubra,1853.101481,24.5,25,
McGilvra Woods,2019,2208,Acer saccharum,116.1226296,24.4,23.8,
McGilvra Woods,2019,2209,Acer saccharum,153.3624989,26.3,28.3,
McGilvra Woods,2019,2210,Acer saccharum,2235.312077,28,31.9,
McGilvra Woods,2019,2211,Acer saccharum,167.6546128,31.3,36.1,
McGilvra Woods,2019,2212,Fraxinus americana,627.5033772,33.2,34.4,
McGilvra Woods,2019,2213,Acer saccharum,884.0388638,31,29.1,
McGilvra Woods,2019,2214,Acer saccharum,1299.72611,32.4,30,
McGilvra Woods,2019,2215,Acer saccharum,1136.386188,40.2,25.7,
McGilvra Woods,2019,2216,Acer saccharum,144.4140123,7,46.5,
McGilvra Woods,2019,2217,Quercus rubra,3732.159542,44,23.5,
McGilvra Woods,2019,2218,Acer saccharum,583.0927819,43.3,25.8,
McGilvra Woods,2019,2219,Acer saccharum,165.4702112,42.3,27.6,
McGilvra Woods,2019,2220,Acer saccharum,166.9248874,43.1,29.7,
McGilvra Woods,2019,2221,Carya cordiformis,1740.710239,44.4,28.5,
McGilvra Woods,2019,2222,Acer saccharum,249.5549508,46.6,28.7,
McGilvra Woods,2019,2223,Acer saccharum,991.102394,46.9,26.4,
McGilvra Woods,2019,2022,Acer saccharum,970.8045684,13.6,68.1,Stem 2 65cm
McGilvra Woods,2019,2023,Acer saccharum,65.54716754,17.9,68,
McGilvra Woods,2019,2024,Acer saccharum,184.877565,6.7,67.8,
McGilvra Woods,2019,2030,Acer saccharum,383.2737509,1.4,68.7,
McGilvra Woods,2019,2031,Acer saccharum,55.88327939,3,67.1,
McGilvra Woods,2019,2032,Tilia americana,2634.709815,4.4,64.8,"3 stems, 94.1 and 100.7cm"
McGilvra Woods,2019,2033,Acer saccharum,95.81843771,0,0,
McGilvra Woods,2019,2034,Acer saccharum,57.15572316,0,56.9,
McGilvra Woods,2019,2035,Acer saccharum,121.6588343,7.5,56.4,
McGilvra Woods,2019,2036,Fraxinus americana,1227.533428,10.1,56.2,
McGilvra Woods,2019,2039,Acer saccharum,1966.505744,14.7,60.7,
McGilvra Woods,2019,2040,Acer saccharum,741.0453094,11.4,64.5,
McGilvra Woods,2019,2041,Acer saccharum,84.57175366,10.2,64,
McGilvra Woods,2019,2042,Carya cordiformis,943.7259463,9.2,63.5,"Throw out ash that has the same number, misidentified"
McGilvra Woods,2019,2043,Acer saccharum,477.9621885,15.3,55.2,
McGilvra Woods,2019,2044,Fraxinus americana,1229.510928,17,56.5,
McGilvra Woods,2019,2045,Acer saccharum,219.3354059,20.6,57.5,
McGilvra Woods,2019,2046,Acer saccharum,198.1486999,19.9,52.7,
McGilvra Woods,2019,2047,Acer saccharum,522.1077908,21.1,52.4,
McGilvra Woods,2019,2048,Tilia americana,1161.245394,24.4,56.4,One stem dead
McGilvra Woods,2019,2049,Acer saccharum,99.16069152,21.5,62.3,
McGilvra Woods,2019,2050,Acer saccharum,1172.809593,27.9,64.2,
McGilvra Woods,2019,2051,Acer saccharum,700.1576087,32.7,65,
McGilvra Woods,2019,2052,Tilia americana,17.4043888,31.8,68.7,"Stem 1 is 6.4, 2 is 7.0, 3 is 4.3, 4 is 3.5"
McGilvra Woods,2019,2095,Acer saccharum,1826.482021,36.9,67.8,
McGilvra Woods,2019,2097,Acer saccharum,20.11798058,44,61.5,
McGilvra Woods,2019,2098,Acer saccharum,14.71864914,45.8,62.3,
McGilvra Woods,2019,2099,Tilia americana,1420.375107,39.2,58,
McGilvra Woods,2019,2100,Fraxinus americana,1068.949056,9.8,58.3,
McGilvra Woods,2019,2102,Acer saccharum,756.4833389,31.2,54.8,
McGilvra Woods,2019,2103,Acer saccharum,996.4380635,33.1,54.2,
McGilvra Woods,2019,2104,Fraxinus americana,1203.927567,31.1,52.6,
McGilvra Woods,2019,2105,Acer saccharum,701.6512779,34.1,51.3,
McGilvra Woods,2019,2106,Acer saccharum,989.3270206,38.2,51.8,
McGilvra Woods,2019,2107,Acer saccharum,1087.474691,38.6,54.2,
McGilvra Woods,2019,2108,Acer saccharum,435.7662342,44.2,52.3,
McGilvra Woods,2019,2119,Acer saccharum,0.974824026,69.4,57.5,
McGilvra Woods,2019,2123,Acer saccharum,0.919915571,91.3,58.5,
McGilvra Woods,2019,2224,Acer saccharum,2006.740114,50.1,47.6,
McGilvra Woods,2019,2225,Acer saccharum,747.2014226,62.9,48.8,
McGilvra Woods,2019,2226,Acer saccharum,124.7902078,62.3,45.4,
McGilvra Woods,2019,2227,Acer saccharum,263.1030153,61.8,42,
McGilvra Woods,2019,2228,Prunus serotina,565.5165058,59.1,41.3,
McGilvra Woods,2019,2229,Acer saccharum,151.9683016,57.8,42.7,
McGilvra Woods,2019,2230,Fraxinus americana,1005.362677,54.5,42.7,
McGilvra Woods,2019,2231,Acer saccharum,316.8464565,54.4,39.1,
McGilvra Woods,2019,2232,Fraxinus americana,2374.605279,60.9,36.4,2 stems. Second stem circumference 131.6
McGilvra Woods,2019,2233,Acer saccharum,69.25229461,58.4,34.9,
